objectid,zone_class,zoning_des,zoning_lab,loaddate,st_areashape,st_perimetershape
232,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,3300.14715742686,242.657133129397
233,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,3533.35061502437,244.079749133391
234,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,242230.099744581,2576.38517199113
235,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,81834.5097215801,2326.83362032067
236,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1670.07988342347,170.450773421584
237,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1473.9748028448,158.091607123806
238,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1566.97719614721,167.154338838876
239,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,10639.0354209275,682.531232254688
240,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,93437.9824072193,1924.55293369406
241,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,5973.74256414531,440.670363996518
242,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,11154.4489938289,416.476212502451
243,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,48539.5242574911,1307.71103424194
244,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,8367.02927536972,334.624456173781
245,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,12943.143707631,506.6060443816
246,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,4794.40442419886,283.883791294914
247,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,2191.75779003681,195.61847992837
248,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,9036.96408650536,544.836617214292
249,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,22335.6781658793,750.145672801738
250,A-3,A-3 High-density Apartment District,A-3,2023/09/15 00:00:00+00,208937.454874264,2332.96581917734
251,A-3,A-3 High-density Apartment District,A-3,2023/09/15 00:00:00+00,82435.5422607899,1300.03618104361
